GameID,Timestamp,Player,Faction,Turn Order,Game Score,Tournament Score,Map,Clearing Distribution,Deck,Undrafted Faction,Turn Timing,Dom/Coal,Season
DbInput!42285,2025-06-28 18:40:46.336766+00:00,Nikki+9396,Underground Duchy,1,24,0,Autumn,Random,Exiles and Partisans,Vagabond (Arbiter),Async,,M02
DbInput!42284,2025-06-28 17:53:57.931786+00:00,Hayjay+3964,Vagabond (Tinker),4,19,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42284,2025-06-28 17:53:57.931786+00:00,Excitedteapot+2857,Riverfolk Company,3,18,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42284,2025-06-28 17:53:57.931786+00:00,cringelordirl+3838,Keepers in Iron,2,30,1,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42284,2025-06-28 17:53:57.931786+00:00,Lufire+7855,Eyrie Dynasties,1,28,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42277,2025-06-27 22:13:52.277123+00:00,kaybug+3850,Underground Duchy,4,16,0,Autumn,Random,Exiles and Partisans,,Async,,M02
DbInput!42277,2025-06-27 22:13:52.277123+00:00,pookypossum+9865,Riverfolk Company,3,18,0,Autumn,Random,Exiles and Partisans,,Async,,M02
DbInput!42277,2025-06-27 22:13:52.277123+00:00,femmefatale+5597,Eyrie Dynasties,2,19,0,Autumn,Random,Exiles and Partisans,,Async,,M02
DbInput!42277,2025-06-27 22:13:52.277123+00:00,Sjepeal+9206,Lord of the Hundreds,1,31,1,Autumn,Random,Exiles and Partisans,,Async,,M02
DbInput!42274,2025-06-27 20:53:58.219855+00:00,Napalminthebirdsong+5528,Eyrie Dynasties,4,14,0,Autumn,Random,Exiles and Partisans,Keepers in Iron,Async,,M02
DbInput!42274,2025-06-27 20:53:58.219855+00:00,nikkan+7933,Riverfolk Company,3,31,1,Autumn,Random,Exiles and Partisans,Keepers in Iron,Async,,M02
