GameID,Timestamp,Player,Faction,Turn Order,Game Score,Tournament Score,Map,Clearing Distribution,Deck,Undrafted Faction,Turn Timing,Dom/Coal,Season
DbInput!40376,2025-03-29 04:56:54.000554+00:00,sda1611+3493,Keepers in Iron,4,30,1,Autumn,Random,Standard,Lizard Cult,Async,,M01
DbInput!40376,2025-03-29 04:56:54.000554+00:00,Sharpsword1611+8391,Eyrie Dynasties,3,15,0,Autumn,Random,Standard,Lizard Cult,Async,,M01
DbInput!40376,2025-03-29 04:56:54.000554+00:00,JasiuÅ„cio+3892,Underground Duchy,2,8,0,Autumn,Random,Standard,Lizard Cult,Async,,M01
DbInput!40376,2025-03-29 04:56:54.000554+00:00,TinTheFoil+6054,Vagabond (Scoundrel),1,15,0,Autumn,Random,Standard,Lizard Cult,Async,,M01
DbInput!40374,2025-03-29 04:30:45.429957+00:00,TercMa+9283,Vagabond (Adventurer),4,12,0,Autumn,Random,Exiles and Partisans,Lizard Cult,Async,,M01
DbInput!40374,2025-03-29 04:30:45.429957+00:00,Excitedteapot+2857,Lord of the Hundreds,3,20,0,Autumn,Random,Exiles and Partisans,Lizard Cult,Async,,M01
DbInput!40374,2025-03-29 04:30:45.429957+00:00,Ouki01+4037,Marquise de Cat,2,20,0,Autumn,Random,Exiles and Partisans,Lizard Cult,Async,,M01
DbInput!40374,2025-03-29 04:30:45.429957+00:00,DuckyDigs+523,Woodland Alliance,1,33,1,Autumn,Random,Exiles and Partisans,Lizard Cult,Async,,M01
DbInput!40362,2025-03-28 15:36:49.549242+00:00,Nadav253+6419,Underground Duchy,4,30,1,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M01
DbInput!40362,2025-03-28 15:36:49.549242+00:00,Kmahussier+2186,Eyrie Dynasties,3,24,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M01
DbInput!40362,2025-03-28 15:36:49.549242+00:00,Doordecat+1475,Vagabond (Ronin),2,20,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M01
DbInput!40362,2025-03-28 15:36:49.549242+00:00,TurkeyNoNo+9522,Keepers in Iron,1,17,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M01
DbInput!40353,2025-03-28 05:57:45.679091+00:00,Kingleave+7633,Riverfolk Company,4,30,1,Autumn,Random,Exiles and Partisans,Vagabond (Vagrant),Async,,M01
DbInput!40353,2025-03-28 05:57:45.679091+00:00,BadOptics+5373,Lord of the Hundreds,3,22,0,Autumn,Random,Exiles and Partisans,Vagabond (Vagrant),Async,,M01
DbInput!40353,2025-03-28 05:57:45.679091+00:00,Plush2+8334,Underground Duchy,2,24,0,Autumn,Random,Exiles and Partisans,Vagabond (Vagrant),Async,,M01
DbInput!40353,2025-03-28 05:57:45.679091+00:00,FakeSki+4232,Corvid Conspiracy,1,22,0,Autumn,Random,Exiles and Partisans,Vagabond (Vagrant),Async,,M01
